title_key,n_openalex_work_ids,representative_title,work_ids,years,raw_reference_edges
should tables be sorted,2,Should Tables Be Sorted?,W1993022201; W2067169404,"1978, 1981",2
signatures and induction principles for higher inductive inductive types,2,Signatures and Induction Principles for Higher Inductive-Inductive Types,W2914814133; W3097948082,2020,2
simple accurate analytical time modeling and optimal tile size selection for gpgpu stencils,2,"Simple, Accurate, Analytical Time Modeling and Optimal Tile Size Selection for GPGPU Stencils",W2579915854; W3009247700,2017,2
simulation of quantum circuits by low rank stabilizer decompositions,2,Simulation of quantum circuits by low-rank stabilizer decompositions,W2885845431; W3106326670,2019,2
simuq a framework for programming quantum hamiltonian simulation with analog compilation,2,SimuQ: A Framework for Programming Quantum Hamiltonian Simulation with Analog Compilation,W4323566629; W6948095267,"2023, 2024",2
singular integral equations,2,Singular Integral Equations,W2482911253; W4210892436,2000,2
slipstream processors,2,Slipstream processors,W2143068308; W4255602098,2000,2
smoothing methods for automatic differentiation across conditional branches,2,Smoothing Methods for Automatic Differentiation Across Conditional Branches,W4387427697; W4389664989,2023,2
smt based bounded model checking for embedded ansi c software,2,SMT-Based Bounded Model Checking for Embedded ANSI-C Software,W2106892818; W2949558051,"2009, 2011",2
software for exact integration of polynomials over polyhedra,2,Software for exact integration of polynomials over polyhedra,W2014894062; W2571112599,2012,2
software pipelining an effective scheduling technique for vliw machines,2,Software pipelining: an effective scheduling technique for VLIW machines,W3143608323; W4232919122,1988,2
software profiling for hot path prediction,2,Software profiling for hot path prediction,W2127890955; W4238502383,2000,2
software testing techniques,2,Software Testing Techniques,W1910771831; W2498821183,"1998, 2000",2
sparse matrix methods in optimization,2,Sparse Matrix Methods in Optimization,W2153738380; W4254321607,"1982, 1984",2
sparse tensor transpositions,2,Sparse Tensor Transpositions,W3028129830; W3098408187,2020,2
specgen automated generation of formal program specifications via large language models,2,SpecGen: Automated Generation of Formal Program Specifications via Large Language Models,W4391012954; W4411552046,"2024, 2025",2
specification and synthesis of communicating processes using an extended temporal logic,2,Specification and synthesis of communicating processes using an extended temporal logic,W2063903592; W2401007240,1982,2
speculative execution in a distributed file system,2,Speculative execution in a distributed file system,W2047418149; W2121178808,"2005, 2006",2
stability of randomized learning algorithms,2,Stability of Randomized Learning Algorithms,W2131542408; W3005141333,2005,2
states effects and operations fundamental notions of quantum theory,2,"States, Effects, and Operations Fundamental Notions of Quantum Theory",W1643301482; W2599980333,"1983, 1986",2
static analysis of run time errors in embedded real time parallel c programs,2,Static Analysis of Run-Time Errors in Embedded Real-Time Parallel C Programs,W2025577256; W3104985640,2012,2
static checking of dynamically generated queries in database applications,2,Static checking of dynamically generated queries in database applications,W2003751975; W4240309233,"2004, 2007",2
statistical debugging for real world performance problems,2,Statistical debugging for real-world performance problems,W2163661306; W3027678148,2014,2
steering symbolic execution to less traveled paths,2,Steering symbolic execution to less traveled paths,W2159899121; W3011209520,2013,2
stereo matching using belief propagation,2,Stereo matching using belief propagation,W2151646056; W2180905035,"2002, 2003",2
stmbench7,2,STMBench7,W2103933790; W4238758016,2007,2
strategies for product line verification case studies and experiments,2,Strategies for product-line verification: case studies and experiments,W2069920427; W4252984174,2013,2
strisynth synthesis for live programming,2,StriSynth: synthesis for live programming,W2069841869; W4214751146,2015,2
structure discovery in nonparametric regression through compositional kernel search,2,Structure Discovery in Nonparametric Regression through Compositional Kernel Search,W2142959074; W2951308445,2013,2
structured formal development with quotient types in isabelle hol,2,Structured Formal Development with Quotient Types in Isabelle/HOL,W2034168949; W4255801913,2010,2
sum product networks a new deep architecture,2,Sum-product networks: A new deep architecture,W2040370888; W2399803916,"2011, 2012",2
sweeten your javascript,2,Sweeten your JavaScript,W2105982807; W4233002554,2014,2
symbolic logic a razor edged tool for drafting and interpreting legal documents,2,SYMBOLIC LOGIC: A RAZOR-EDGED TOOL FOR DRAFTING AND INTERPRETING LEGAL DOCUMENTS,W1868697350; W4249318453,1957,2
synchronous programming with refinement types,2,Synchronous Programming with Refinement Types,W4399554175; W6949458075,2024,2
synthesis from component libraries,2,Synthesis from Component Libraries,W1596680954; W2059312600,"2009, 2012",2
synthesis from multi cycle atomic actions as a solution to the timing closure problem,2,Synthesis from multi-cycle atomic actions as a solution to the timing closure problem,W2030220202; W4240633153,2008,2
synthesizing benchmarks for predictive modeling,2,Synthesizing benchmarks for predictive modeling,W2565684518; W4214583996,2017,2
synthesizing iterators from abstraction functions,2,Synthesizing iterators from abstraction functions,W2155780123; W2243433439,2012,2
synthesizing programs for images using reinforced adversarial learning,2,Synthesizing Programs for Images using Reinforced Adversarial Learning,W2795456585; W2963642948,2018,2
synthetiq fast and versatile quantum circuit synthesis,2,Synthetiq: Fast and Versatile Quantum Circuit Synthesis,W4396214513; W6911296266,2024,2
syrust automatic testing of rust libraries with semantic aware program synthesis technical report,2,SyRust: Automatic Testing of Rust Libraries with Semantic-Aware Program Synthesis–Technical Report,W3165616602; W6903508594,2021,2
system description isabelle jedit in 2014,2,System description: Isabelle/jEdit in 2014,W1983365251; W4299953167,2014,2
systematic software development using vdm,2,Systematic software development using VDM,W1970495662; W2318940639,1986,2
techniques for improving language based editors,2,Techniques for improving language-based editors,W2085039685; W4249481576,1984,2
template your boilerplate,2,Template your boilerplate,W2101407609; W4249438729,2012,2
tequila a platform for rapid development of quantum algorithms,2,TEQUILA: a platform for rapid development of quantum algorithms,W3101038858; W3132847260,2021,2
the algebraic specification of abstract data types,2,The algebraic specification of abstract data types,W2134338128; W4253361097,1978,2
the architecture of the eden system,2,The architecture of the Eden system,W1977097393; W4237100034,1981,2
the art of testing less without sacrificing quality,2,The art of testing less without sacrificing quality,W2051559996; W4245116308,2015,2
the art of the metaobject protocol,2,The art of the metaobject protocol,W1527793496; W68605010,"1991, 1992",2
the behavior of tutoring systems,2,The Behavior of Tutoring Systems,W1765030997; W3015277188,2006,2
the birth of prolog,2,The birth of Prolog,W1969456304; W2173702800,"1993, 1996",2
the bunker cache for spatio value approximation,2,The bunker cache for spatio-value approximation,W2562506265; W4248591063,2016,2
the click modular router,2,The click modular router,W2010365467; W2156874421,"1999, 2000",2
the clocks they are adjunctions denotational semantics for clocked type theory,2,The Clocks They Are Adjunctions Denotational Semantics for Clocked Type Theory,W2796955244; W2964181739,2018,2
the csi framework for compiler inserted program instrumentation,2,The CSI Framework for Compiler-Inserted Program Instrumentation,W2780922723; W4246328121,"2017, 2018",2
the decision problem for standard classes,2,The decision problem for standard classes,W2114368612; W4247725673,1976,2
the essence of generalized algebraic data types,2,The Essence of Generalized Algebraic Data Types,W4390605281; W6948889815,"2023, 2024",2
the essence of verilog a tractable and tested operational semantics for verilog artifact,2,The Essence of Verilog: A Tractable and Tested Operational Semantics for Verilog (Artifact),W6894252666; W6930080268,2023,2
the foundations of program verification,2,The foundations of program verification.,W1521505629; W2315559518,"1986, 1988",2
the google file system,2,The Google file system,W2119565742; W4238584892,2003,2
the implicit calculus,2,The implicit calculus,W2139141719; W3118228945,2012,2
the jackknife the bootstrap and other resampling plans,2,"The Jackknife, the Bootstrap and Other Resampling Plans",W2124181495; W3026721701,"1982, 1983",2
the java syntactic extender jse,2,The Java syntactic extender (JSE),W2065428406; W3009770552,2001,2
the logical strength of b uchi s decidability theorem,2,"The logical strength of B\""uchi's decidability theorem",W2511934226; W2945500475,2019,2
the lrpd test,2,The LRPD test,W2078429521; W2996943613,1995,2
the mathematical analysis of logic,2,The Mathematical Analysis of Logic.,W2317286377; W4210667464,"1950, 2009",2
the nature of statistical learning theory,2,The Nature of Statistical Learning Theory,W2156909104; W4230674625,"1995, 2000",2
the path to durable linearizability,2,The Path to Durable Linearizability,W4309137580; W4315630770,"2022, 2023",2
the probabilistic termination tool amber,2,The Probabilistic Termination Tool Amber,W3184256266; W3214973620,"2021, 2022",2
the problem of simplifying truth functions,2,The Problem of Simplifying Truth Functions,W2335478831; W4253456425,1952,2
the real projective spaces in homotopy type theory,2,The real projective spaces in homotopy type theory,W2608452728; W2963522163,2017,2
the simplicial model of univalent foundations after voevodsky,2,The Simplicial Model of Univalent Foundations (after Voevodsky),W2475129850; W3133537387,"2012, 2021",2
